company_id,type,rule_id,text,confidence_pct
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BAJAJFINSV,con,CON_1,Debt-to-equity ratio of 4.79 is elevated for a non-financial company and warrants monitoring,100
BAJAJFINSV,con,CON_2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88
BAJAJFINSV,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78
BAJAJHLDNG,pro,PRO_2,Consistent positive free cash flow over recent years signals healthy operations,65
BAJAJHLDNG,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
BAJAJHLDNG,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,94
BAJAJHLDNG,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BAJAJHLDNG,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJAJHLDNG,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
BAJAJHLDNG,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,73
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
BAJAJHLDNG,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
BAJAJHLDNG,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
BAJFINANCE,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
BAJFINANCE,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,79
BAJFINANCE,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,84
BAJFINANCE,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJFINANCE,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BAJFINANCE,con,CON_2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88
BAJFINANCE,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
BAJFINANCE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
BANKBARODA,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
BANKBARODA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,87
BANKBARODA,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
BANKBARODA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BANKBARODA,con,CON_2,Negative free cash flow in the latest year limits internal cash generation,61
BANKBARODA,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
BEL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BEL,pro,PRO_5,Healthy operating margin indicates robust business model,62
BEL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BEL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BEL,con,CON_2,Negative free cash flow in the latest year limits internal cash generation,61
BHARTIARTL,pro,PRO_2,Consistent positive free cash flow over recent years signals healthy operations,65
BHARTIARTL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BHARTIARTL,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,93
BHARTIARTL,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
BHARTIARTL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BHARTIARTL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
BHARTIARTL,con,CON_1,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,81
BHEL,pro,PRO_GENERAL,Established market presence with sustained operational footprint,65
BHEL,con,CON_2,Negative free cash flow in the latest year limits internal cash generation,61
BHEL,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
BHEL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
BOSCHLTD,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
BOSCHLTD,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
BOSCHLTD,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BOSCHLTD,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
BOSCHLTD,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BOSCHLTD,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
BOSCHLTD,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
BPCL,pro,PRO_2,Consistent positive free cash flow over recent years signals healthy operations,65
BPCL,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
BPCL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BPCL,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
BPCL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,83
BPCL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BPCL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
BPCL,con,CON_5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,85
BRITANNIA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BRITANNIA,pro,PRO_2,Consistent positive free cash flow over recent years signals healthy operations,65
BRITANNIA,pro,PRO_5,Healthy operating margin indicates robust business model,62
BRITANNIA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BRITANNIA,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
BRITANNIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
BRITANNIA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
BRITANNIA,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
CANBK,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74
CANBK,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,91
CANBK,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
CANBK,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
CANBK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
CANBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
CANBK,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
CANBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
CHOLAFIN,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
CHOLAFIN,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,78
CHOLAFIN,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,78
CHOLAFIN,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
CHOLAFIN,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
CHOLAFIN,con,CON_2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,88
CHOLAFIN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
CIPLA,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
CIPLA,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,80
CIPLA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
CIPLA,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,77
CIPLA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
CIPLA,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
CIPLA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
CIPLA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
CIPLA,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
COALINDIA,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
COALINDIA,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
COALINDIA,pro,PRO_3,Low leverage balance sheet provides financial stability,65
COALINDIA,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
COALINDIA,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
COALINDIA,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
COALINDIA,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
COALINDIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
COALINDIA,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
DABUR,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
DABUR,pro,PRO_3,Low leverage balance sheet provides financial stability,65
DABUR,pro,PRO_5,Healthy operating margin indicates robust business model,62
DABUR,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DABUR,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
DABUR,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78
DIVISLAB,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
DIVISLAB,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,78
DIVISLAB,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DIVISLAB,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
DIVISLAB,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
DLF,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
DLF,pro,PRO_3,Low leverage balance sheet provides financial stability,65
DLF,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,83
DLF,pro,PRO_7,Comfortable interest coverage ratio ensures manageable debt obligations,65
DLF,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
DLF,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
DLF,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
DMART,pro,PRO_2,Consistent positive free cash flow over recent years signals healthy operations,65
DMART,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,80
DMART,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78
DMART,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,77
DMART,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DMART,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77
DMART,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
DMART,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
DRREDDY,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
DRREDDY,pro,PRO_3,Low leverage balance sheet provides financial stability,65
DRREDDY,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,78
DRREDDY,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,78
DRREDDY,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DRREDDY,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78
DRREDDY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
DRREDDY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
DRREDDY,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
EICHERMOT,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
EICHERMOT,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,80
EICHERMOT,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,76
EICHERMOT,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
EICHERMOT,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
EICHERMOT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
EICHERMOT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
EICHERMOT,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
GAIL,pro,PRO_3,Low leverage balance sheet provides financial stability,65
GAIL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
GAIL,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
GAIL,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78
GODREJCP,pro,PRO_3,Low leverage balance sheet provides financial stability,65
GODREJCP,pro,PRO_5,Healthy operating margin indicates robust business model,62
GODREJCP,con,CON_2,Negative free cash flow in the latest year limits internal cash generation,61
GODREJCP,con,CON_4,Company reported a net loss in the most recent financial year,95
GRASIM,pro,PRO_5,Healthy operating margin indicates robust business model,62
GRASIM,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,84
GRASIM,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,82
GRASIM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
GRASIM,con,CON_1,Debt-to-equity ratio of 1.55 is moderately high and increases financial risk,62
GRASIM,con,CON_2,Negative free cash flow in the latest year limits internal cash generation,61
GRASIM,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78
GRASIM,con,CON_9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,80
HAL,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
HAL,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
HAL,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,81
HAL,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HAL,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
HAL,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81
HAL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
HAL,con,CON_8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,78
HAVELLS,pro,PRO_2,Consistent positive free cash flow over recent years signals healthy operations,65
HAVELLS,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,80
HAVELLS,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HAVELLS,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
HAVELLS,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
HCLTECH,pro,PRO_1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,73
HCLTECH,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
HCLTECH,pro,PRO_3,Low leverage balance sheet provides financial stability,65
HCLTECH,pro,PRO_5,Healthy operating margin indicates robust business model,62
HCLTECH,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HCLTECH,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
HCLTECH,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
HCLTECH,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
HDFCBANK,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80
HDFCBANK,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HDFCBANK,pro,PRO_6,Net profit compounding at above 20% over 5 years creates significant shareholder value,78
HDFCBANK,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
HDFCBANK,pro,PRO_9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70
HDFCBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75
HDFCLIFE,pro,PRO_3,Low leverage balance sheet provides financial stability,65
HDFCLIFE,pro,PRO_4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79
HDFCLIFE,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HDFCLIFE,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HDFCLIFE,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
HDFCLIFE,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,78
HDFCLIFE,con,CON_2,Negative free cash flow in the latest year limits internal cash generation,61
HEROMOTOCO,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
HEROMOTOCO,pro,PRO_3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,80
HEROMOTOCO,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HEROMOTOCO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HEROMOTOCO,pro,PRO_8,Consistent dividend yield above 2% backed by positive free cash flow,75
HEROMOTOCO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
HEROMOTOCO,con,CON_3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,82
HEROMOTOCO,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,70
HINDALCO,pro,PRO_2,Consistent positive free cash flow over recent years signals healthy operations,65
HINDALCO,pro,PRO_5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HINDALCO,pro,PRO_7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HINDALCO,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
HINDALCO,con,CON_GENERAL,Vulnerable to macroeconomic cycles and raw material cost fluctuations,65
HINDUNILVR,pro,PRO_2,Strong free cash flow generation over 5 years signals healthy business fundamentals,85
